;name;set_name;cmc;power;toughness;oracle_text
1803;Kolaghan Warmonger;March of the Machine: The Aftermath;3.0;3;2;"Haste
Whenever Kolaghan Warmonger attacks, look at the top six cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
1804;Plargg and Nassari;March of the Machine: The Aftermath;5.0;5;4;At the beginning of your upkeep, each player exiles cards from the top of their library until they exile a nonland card. An opponent chooses a nonland card exiled this way. You may cast up to two spells from among the other cards exiled this way without paying their mana costs.
1805;Nissa, Resurgent Animist;March of the Machine: The Aftermath;3.0;3;3;Landfall — Whenever a land you control enters, add one mana of any color. Then if this is the second time this ability has resolved this turn, reveal cards from the top of your library until you reveal an Elf or Elemental card. Put that card into your hand and the rest on the bottom of your library in a random order.
1806;Tranquil Frillback;March of the Machine: The Aftermath;3.0;3;3;"When Tranquil Frillback enters, you may pay {G} up to three times. When you pay this cost one or more times, choose up to that many —
• Destroy target artifact or enchantment.
• Exile target player's graveyard.
• You gain 4 life."
1807;Calix, Guided by Fate;March of the Machine: The Aftermath;3.0;2;2;"Constellation — Whenever Calix, Guided by Fate or another enchantment you control enters, put a +1/+1 counter on target creature.
Whenever Calix or an enchanted creature you control deals combat damage to a player, you may create a token that's a copy of a nonlegendary enchantment you control. Do this only once each turn."
1808;Danitha, New Benalia's Light;March of the Machine: The Aftermath;3.0;2;2;"Vigilance, trample, lifelink
Once during each of your turns, you may cast an Aura or Equipment spell from your graveyard."
1809;Gold-Forged Thopteryx;March of the Machine: The Aftermath;2.0;1;3;"Flying, lifelink
Each legendary permanent you control has ward {2}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)"
1810;Jirina, Dauntless General;March of the Machine: The Aftermath;2.0;2;2;"When Jirina, Dauntless General enters, exile target player's graveyard.
Sacrifice Jirina: Humans you control gain hexproof and indestructible until end of turn."
1811;Jolrael, Voice of Zhalfir;March of the Machine: The Aftermath;4.0;3;3;"At the beginning of combat on your turn, up to one target land you control becomes an X/X green and blue Bird creature with flying and haste until end of turn, where X is the number of cards in your hand. It's still a land.
Whenever a land creature you control deals combat damage to a player, draw a card."
1812;Kiora, Sovereign of the Deep;March of the Machine: The Aftermath;5.0;4;5;"Vigilance, ward {3}
Whenever you cast a Kraken, Leviathan, Octopus, or Serpent spell from your hand, look at the top X cards of your library, where X is that spell's mana value. You may cast a spell with mana value less than X from among them without paying its mana cost. Put the rest on the bottom of your library in a random order."
1813;Nahiri, Forged in Fury;March of the Machine: The Aftermath;6.0;5;4;"Affinity for Equipment (This spell costs {1} less to cast for each Equipment you control.)
Whenever an equipped creature you control attacks, exile the top card of your library. You may play that card this turn. You may cast Equipment spells this way without paying their mana costs."
1814;Narset, Enlightened Exile;March of the Machine: The Aftermath;4.0;3;4;"Creatures you control have prowess.
Whenever Narset, Enlightened Exile attacks, exile target noncreature, nonland card with mana value less than Narset's power from a graveyard and copy it. You may cast the copy without paying its mana cost."
1815;Nashi, Moon's Legacy;March of the Machine: The Aftermath;3.0;3;4;"Menace, ward {1}
Whenever Nashi, Moon's Legacy attacks, exile up to one target legendary or Rat card from your graveyard and copy it. You may cast the copy. (You still pay its costs. A copy of a permanent spell becomes a token.)"
1816;Niv-Mizzet, Supreme;March of the Machine: The Aftermath;5.0;5;5;"Flying, hexproof from monocolored
Each instant and sorcery card in your graveyard that's exactly two colors has jump-start. (You may cast that card from your graveyard by discarding a card in addition to paying its other costs. Then exile it.)"
1817;Ob Nixilis, Captive Kingpin;March of the Machine: The Aftermath;4.0;4;3;"Flying, trample
Whenever one or more opponents each lose exactly 1 life, put a +1/+1 counter on Ob Nixilis, Captive Kingpin. Exile the top card of your library. Until your next end step, you may play that card."
1818;Pia Nalaar, Consul of Revival;March of the Machine: The Aftermath;2.0;2;3;"Thopters you control have haste.
Whenever you play a land from exile or cast a spell from exile, create a 1/1 colorless Thopter artifact creature token with flying."
1819;Rocco, Street Chef;March of the Machine: The Aftermath;3.0;2;4;"At the beginning of your end step, each player exiles the top card of their library. Until your next end step, each player may play the card they exiled this way.
Whenever a player plays a land from exile or casts a spell from exile, you put a +1/+1 counter on target creature and create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
1820;Samut, Vizier of Naktamun;March of the Machine: The Aftermath;3.0;2;3;"First strike, vigilance, haste
Whenever a creature you control deals combat damage to a player, if that creature entered this turn, draw a card."
1821;Sarkhan, Soul Aflame;March of the Machine: The Aftermath;3.0;2;4;"Dragon spells you cast cost {1} less to cast.
Whenever a Dragon you control enters, you may have Sarkhan, Soul Aflame become a copy of it until end of turn, except its name is Sarkhan, Soul Aflame and it's legendary in addition to its other types."
1822;Sigarda, Font of Blessings;March of the Machine: The Aftermath;4.0;4;4;"Flying
Other permanents you control have hexproof.
You may look at the top card of your library any time.
You may cast Angel spells and Human spells from the top of your library."
1823;Tyvar the Bellicose;March of the Machine: The Aftermath;4.0;5;4;"Whenever one or more Elves you control attack, they gain deathtouch until end of turn.
Each creature you control has ""Whenever a mana ability of this creature resolves, put a number of +1/+1 counters on it equal to the amount of mana this creature produced. This ability triggers only once each turn."""
1824;Karn, Legacy Reforged;March of the Machine: The Aftermath;5.0;*;*;"Karn, Legacy Reforged's power and toughness are each equal to the greatest mana value among artifacts you control.
At the beginning of your upkeep, add {C} for each artifact you control. This mana can't be spent to cast nonartifact spells. Until end of turn, you don't lose this mana as steps and phases end."
1825;Coppercoat Vanguard;March of the Machine: The Aftermath;2.0;2;2;Each other Human you control gets +1/+0 and has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
1826;Harnessed Snubhorn;March of the Machine: The Aftermath;4.0;2;5;"Vigilance
Whenever Harnessed Snubhorn deals combat damage to a player, return target artifact or enchantment card from your graveyard to the battlefield."
1827;Metropolis Reformer;March of the Machine: The Aftermath;3.0;2;3;"Flying, vigilance
You have hexproof.
Whenever Metropolis Reformer is dealt damage, you gain that much life."
1828;Tazri, Stalwart Survivor;March of the Machine: The Aftermath;3.0;3;3;"Each creature you control has ""{T}: Add one mana of any of this creature's colors. Spend this mana only to activate an ability of a creature. Activate only if this creature has another activated ability.""
{W}{U}{B}{R}{G}, {T}: Mill five cards. Put all creature cards with activated abilities that aren't mana abilities from among the milled cards into your hand."
1829;Vesuvan Drifter;March of the Machine: The Aftermath;3.0;2;4;"Flying
You may look at the top card of your library any time.
At the beginning of each combat, you may reveal the top card of your library. If you reveal a creature card this way, Vesuvan Drifter becomes a copy of that card until end of turn, except it has flying."
1830;Ayara's Oathsworn;March of the Machine: The Aftermath;2.0;2;2;"Menace
Whenever Ayara's Oathsworn deals combat damage to a player, if it has fewer than four +1/+1 counters on it, put a +1/+1 counter on it. Then if it has exactly four +1/+1 counters on it, search your library for a card, put it into your hand, then shuffle."
1831;Death-Rattle Oni;March of the Machine: The Aftermath;7.0;5;4;"Flash
This spell costs {2} less to cast for each creature that died this turn.
When Death-Rattle Oni enters, destroy all other creatures that were dealt damage this turn."
1832;Markov Baron;March of the Machine: The Aftermath;3.0;2;2;"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Lifelink
Other Vampires you control get +1/+1.
Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
1833;Urborg Scavengers;March of the Machine: The Aftermath;3.0;2;2;"Whenever Urborg Scavengers enters or attacks, exile target card from a graveyard. Put a +1/+1 counter on Urborg Scavengers.
Urborg Scavengers has flying as long as a card exiled with it has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance."
1834;Arni Metalbrow;March of the Machine: The Aftermath;3.0;3;3;Whenever a creature you control attacks or a creature you control enters attacking, you may pay {1}{R}. If you do, you may put a creature card with mana value less than that creature's mana value from your hand onto the battlefield tapped and attacking.
1835;Kolaghan Warmonger;March of the Machine: The Aftermath;3.0;3;2;"Haste
Whenever Kolaghan Warmonger attacks, look at the top six cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
1836;Plargg and Nassari;March of the Machine: The Aftermath;5.0;5;4;At the beginning of your upkeep, each player exiles cards from the top of their library until they exile a nonland card. An opponent chooses a nonland card exiled this way. You may cast up to two spells from among the other cards exiled this way without paying their mana costs.
1837;Nissa, Resurgent Animist;March of the Machine: The Aftermath;3.0;3;3;Landfall — Whenever a land you control enters, add one mana of any color. Then if this is the second time this ability has resolved this turn, reveal cards from the top of your library until you reveal an Elf or Elemental card. Put that card into your hand and the rest on the bottom of your library in a random order.
1838;Tranquil Frillback;March of the Machine: The Aftermath;3.0;3;3;"When Tranquil Frillback enters, you may pay {G} up to three times. When you pay this cost one or more times, choose up to that many —
• Destroy target artifact or enchantment.
• Exile target player's graveyard.
• You gain 4 life."
1839;Calix, Guided by Fate;March of the Machine: The Aftermath;3.0;2;2;"Constellation — Whenever Calix, Guided by Fate or another enchantment you control enters, put a +1/+1 counter on target creature.
Whenever Calix or an enchanted creature you control deals combat damage to a player, you may create a token that's a copy of a nonlegendary enchantment you control. Do this only once each turn."
1840;Danitha, New Benalia's Light;March of the Machine: The Aftermath;3.0;2;2;"Vigilance, trample, lifelink
Once during each of your turns, you may cast an Aura or Equipment spell from your graveyard."
1841;Gold-Forged Thopteryx;March of the Machine: The Aftermath;2.0;1;3;"Flying, lifelink
Each legendary permanent you control has ward {2}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)"
1842;Jirina, Dauntless General;March of the Machine: The Aftermath;2.0;2;2;"When Jirina, Dauntless General enters, exile target player's graveyard.
Sacrifice Jirina: Humans you control gain hexproof and indestructible until end of turn."
1843;Jolrael, Voice of Zhalfir;March of the Machine: The Aftermath;4.0;3;3;"At the beginning of combat on your turn, up to one target land you control becomes an X/X green and blue Bird creature with flying and haste until end of turn, where X is the number of cards in your hand. It's still a land.
Whenever a land creature you control deals combat damage to a player, draw a card."
1844;Kiora, Sovereign of the Deep;March of the Machine: The Aftermath;5.0;4;5;"Vigilance, ward {3}
Whenever you cast a Kraken, Leviathan, Octopus, or Serpent spell from your hand, look at the top X cards of your library, where X is that spell's mana value. You may cast a spell with mana value less than X from among them without paying its mana cost. Put the rest on the bottom of your library in a random order."
1845;Nahiri, Forged in Fury;March of the Machine: The Aftermath;6.0;5;4;"Affinity for Equipment (This spell costs {1} less to cast for each Equipment you control.)
Whenever an equipped creature you control attacks, exile the top card of your library. You may play that card this turn. You may cast Equipment spells this way without paying their mana costs."
1846;Narset, Enlightened Exile;March of the Machine: The Aftermath;4.0;3;4;"Creatures you control have prowess.
Whenever Narset, Enlightened Exile attacks, exile target noncreature, nonland card with mana value less than Narset's power from a graveyard and copy it. You may cast the copy without paying its mana cost."
1847;Nashi, Moon's Legacy;March of the Machine: The Aftermath;3.0;3;4;"Menace, ward {1}
Whenever Nashi, Moon's Legacy attacks, exile up to one target legendary or Rat card from your graveyard and copy it. You may cast the copy. (You still pay its costs. A copy of a permanent spell becomes a token.)"
1848;Niv-Mizzet, Supreme;March of the Machine: The Aftermath;5.0;5;5;"Flying, hexproof from monocolored
Each instant and sorcery card in your graveyard that's exactly two colors has jump-start. (You may cast that card from your graveyard by discarding a card in addition to paying its other costs. Then exile it.)"
1849;Ob Nixilis, Captive Kingpin;March of the Machine: The Aftermath;4.0;4;3;"Flying, trample
Whenever one or more opponents each lose exactly 1 life, put a +1/+1 counter on Ob Nixilis, Captive Kingpin. Exile the top card of your library. Until your next end step, you may play that card."
1850;Pia Nalaar, Consul of Revival;March of the Machine: The Aftermath;2.0;2;3;"Thopters you control have haste.
Whenever you play a land from exile or cast a spell from exile, create a 1/1 colorless Thopter artifact creature token with flying."
1851;Rocco, Street Chef;March of the Machine: The Aftermath;3.0;2;4;"At the beginning of your end step, each player exiles the top card of their library. Until your next end step, each player may play the card they exiled this way.
Whenever a player plays a land from exile or casts a spell from exile, you put a +1/+1 counter on target creature and create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
1852;Samut, Vizier of Naktamun;March of the Machine: The Aftermath;3.0;2;3;"First strike, vigilance, haste
Whenever a creature you control deals combat damage to a player, if that creature entered this turn, draw a card."
1853;Sarkhan, Soul Aflame;March of the Machine: The Aftermath;3.0;2;4;"Dragon spells you cast cost {1} less to cast.
Whenever a Dragon you control enters, you may have Sarkhan, Soul Aflame become a copy of it until end of turn, except its name is Sarkhan, Soul Aflame and it's legendary in addition to its other types."
1854;Sigarda, Font of Blessings;March of the Machine: The Aftermath;4.0;4;4;"Flying
Other permanents you control have hexproof.
You may look at the top card of your library any time.
You may cast Angel spells and Human spells from the top of your library."
1855;Tyvar the Bellicose;March of the Machine: The Aftermath;4.0;5;4;"Whenever one or more Elves you control attack, they gain deathtouch until end of turn.
Each creature you control has ""Whenever a mana ability of this creature resolves, put a number of +1/+1 counters on it equal to the amount of mana this creature produced. This ability triggers only once each turn."""
1856;Karn, Legacy Reforged;March of the Machine: The Aftermath;5.0;*;*;"Karn, Legacy Reforged's power and toughness are each equal to the greatest mana value among artifacts you control.
At the beginning of your upkeep, add {C} for each artifact you control. This mana can't be spent to cast nonartifact spells. Until end of turn, you don't lose this mana as steps and phases end."
1857;Coppercoat Vanguard;March of the Machine: The Aftermath;2.0;2;2;Each other Human you control gets +1/+0 and has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
1858;Harnessed Snubhorn;March of the Machine: The Aftermath;4.0;2;5;"Vigilance
Whenever Harnessed Snubhorn deals combat damage to a player, return target artifact or enchantment card from your graveyard to the battlefield."
1859;Metropolis Reformer;March of the Machine: The Aftermath;3.0;2;3;"Flying, vigilance
You have hexproof.
Whenever Metropolis Reformer is dealt damage, you gain that much life."
1860;Tazri, Stalwart Survivor;March of the Machine: The Aftermath;3.0;3;3;"Each creature you control has ""{T}: Add one mana of any of this creature's colors. Spend this mana only to activate an ability of a creature. Activate only if this creature has another activated ability.""
{W}{U}{B}{R}{G}, {T}: Mill five cards. Put all creature cards with activated abilities that aren't mana abilities from among the milled cards into your hand."
1861;Vesuvan Drifter;March of the Machine: The Aftermath;3.0;2;4;"Flying
You may look at the top card of your library any time.
At the beginning of each combat, you may reveal the top card of your library. If you reveal a creature card this way, Vesuvan Drifter becomes a copy of that card until end of turn, except it has flying."
1862;Ayara's Oathsworn;March of the Machine: The Aftermath;2.0;2;2;"Menace
Whenever Ayara's Oathsworn deals combat damage to a player, if it has fewer than four +1/+1 counters on it, put a +1/+1 counter on it. Then if it has exactly four +1/+1 counters on it, search your library for a card, put it into your hand, then shuffle."
1863;Death-Rattle Oni;March of the Machine: The Aftermath;7.0;5;4;"Flash
This spell costs {2} less to cast for each creature that died this turn.
When Death-Rattle Oni enters, destroy all other creatures that were dealt damage this turn."
1864;Markov Baron;March of the Machine: The Aftermath;3.0;2;2;"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Lifelink
Other Vampires you control get +1/+1.
Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
1865;Urborg Scavengers;March of the Machine: The Aftermath;3.0;2;2;"Whenever Urborg Scavengers enters or attacks, exile target card from a graveyard. Put a +1/+1 counter on Urborg Scavengers.
Urborg Scavengers has flying as long as a card exiled with it has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance."
1866;Arni Metalbrow;March of the Machine: The Aftermath;3.0;3;3;Whenever a creature you control attacks or a creature you control enters attacking, you may pay {1}{R}. If you do, you may put a creature card with mana value less than that creature's mana value from your hand onto the battlefield tapped and attacking.
1867;Kolaghan Warmonger;March of the Machine: The Aftermath;3.0;3;2;"Haste
Whenever Kolaghan Warmonger attacks, look at the top six cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
1868;Plargg and Nassari;March of the Machine: The Aftermath;5.0;5;4;At the beginning of your upkeep, each player exiles cards from the top of their library until they exile a nonland card. An opponent chooses a nonland card exiled this way. You may cast up to two spells from among the other cards exiled this way without paying their mana costs.
1869;Nissa, Resurgent Animist;March of the Machine: The Aftermath;3.0;3;3;Landfall — Whenever a land you control enters, add one mana of any color. Then if this is the second time this ability has resolved this turn, reveal cards from the top of your library until you reveal an Elf or Elemental card. Put that card into your hand and the rest on the bottom of your library in a random order.
1870;Tranquil Frillback;March of the Machine: The Aftermath;3.0;3;3;"When Tranquil Frillback enters, you may pay {G} up to three times. When you pay this cost one or more times, choose up to that many —
• Destroy target artifact or enchantment.
• Exile target player's graveyard.
• You gain 4 life."
1871;Calix, Guided by Fate;March of the Machine: The Aftermath;3.0;2;2;"Constellation — Whenever Calix, Guided by Fate or another enchantment you control enters, put a +1/+1 counter on target creature.
Whenever Calix or an enchanted creature you control deals combat damage to a player, you may create a token that's a copy of a nonlegendary enchantment you control. Do this only once each turn."
1872;Danitha, New Benalia's Light;March of the Machine: The Aftermath;3.0;2;2;"Vigilance, trample, lifelink
Once during each of your turns, you may cast an Aura or Equipment spell from your graveyard."
1873;Gold-Forged Thopteryx;March of the Machine: The Aftermath;2.0;1;3;"Flying, lifelink
Each legendary permanent you control has ward {2}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)"
1874;Jirina, Dauntless General;March of the Machine: The Aftermath;2.0;2;2;"When Jirina, Dauntless General enters, exile target player's graveyard.
Sacrifice Jirina: Humans you control gain hexproof and indestructible until end of turn."
1875;Jolrael, Voice of Zhalfir;March of the Machine: The Aftermath;4.0;3;3;"At the beginning of combat on your turn, up to one target land you control becomes an X/X green and blue Bird creature with flying and haste until end of turn, where X is the number of cards in your hand. It's still a land.
Whenever a land creature you control deals combat damage to a player, draw a card."
1876;Kiora, Sovereign of the Deep;March of the Machine: The Aftermath;5.0;4;5;"Vigilance, ward {3}
Whenever you cast a Kraken, Leviathan, Octopus, or Serpent spell from your hand, look at the top X cards of your library, where X is that spell's mana value. You may cast a spell with mana value less than X from among them without paying its mana cost. Put the rest on the bottom of your library in a random order."
1877;Nahiri, Forged in Fury;March of the Machine: The Aftermath;6.0;5;4;"Affinity for Equipment (This spell costs {1} less to cast for each Equipment you control.)
Whenever an equipped creature you control attacks, exile the top card of your library. You may play that card this turn. You may cast Equipment spells this way without paying their mana costs."
1878;Narset, Enlightened Exile;March of the Machine: The Aftermath;4.0;3;4;"Creatures you control have prowess.
Whenever Narset, Enlightened Exile attacks, exile target noncreature, nonland card with mana value less than Narset's power from a graveyard and copy it. You may cast the copy without paying its mana cost."
1879;Nashi, Moon's Legacy;March of the Machine: The Aftermath;3.0;3;4;"Menace, ward {1}
Whenever Nashi, Moon's Legacy attacks, exile up to one target legendary or Rat card from your graveyard and copy it. You may cast the copy. (You still pay its costs. A copy of a permanent spell becomes a token.)"
1880;Niv-Mizzet, Supreme;March of the Machine: The Aftermath;5.0;5;5;"Flying, hexproof from monocolored
Each instant and sorcery card in your graveyard that's exactly two colors has jump-start. (You may cast that card from your graveyard by discarding a card in addition to paying its other costs. Then exile it.)"
1881;Ob Nixilis, Captive Kingpin;March of the Machine: The Aftermath;4.0;4;3;"Flying, trample
Whenever one or more opponents each lose exactly 1 life, put a +1/+1 counter on Ob Nixilis, Captive Kingpin. Exile the top card of your library. Until your next end step, you may play that card."
1882;Pia Nalaar, Consul of Revival;March of the Machine: The Aftermath;2.0;2;3;"Thopters you control have haste.
Whenever you play a land from exile or cast a spell from exile, create a 1/1 colorless Thopter artifact creature token with flying."
1883;Rocco, Street Chef;March of the Machine: The Aftermath;3.0;2;4;"At the beginning of your end step, each player exiles the top card of their library. Until your next end step, each player may play the card they exiled this way.
Whenever a player plays a land from exile or casts a spell from exile, you put a +1/+1 counter on target creature and create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
1884;Samut, Vizier of Naktamun;March of the Machine: The Aftermath;3.0;2;3;"First strike, vigilance, haste
Whenever a creature you control deals combat damage to a player, if that creature entered this turn, draw a card."
1885;Sarkhan, Soul Aflame;March of the Machine: The Aftermath;3.0;2;4;"Dragon spells you cast cost {1} less to cast.
Whenever a Dragon you control enters, you may have Sarkhan, Soul Aflame become a copy of it until end of turn, except its name is Sarkhan, Soul Aflame and it's legendary in addition to its other types."
1886;Sigarda, Font of Blessings;March of the Machine: The Aftermath;4.0;4;4;"Flying
Other permanents you control have hexproof.
You may look at the top card of your library any time.
You may cast Angel spells and Human spells from the top of your library."
1887;Tyvar the Bellicose;March of the Machine: The Aftermath;4.0;5;4;"Whenever one or more Elves you control attack, they gain deathtouch until end of turn.
Each creature you control has ""Whenever a mana ability of this creature resolves, put a number of +1/+1 counters on it equal to the amount of mana this creature produced. This ability triggers only once each turn."""
1888;Karn, Legacy Reforged;March of the Machine: The Aftermath;5.0;*;*;"Karn, Legacy Reforged's power and toughness are each equal to the greatest mana value among artifacts you control.
At the beginning of your upkeep, add {C} for each artifact you control. This mana can't be spent to cast nonartifact spells. Until end of turn, you don't lose this mana as steps and phases end."
1889;Metropolis Reformer;March of the Machine: The Aftermath;3.0;2;3;"Flying, vigilance
You have hexproof.
Whenever Metropolis Reformer is dealt damage, you gain that much life."
1890;Tazri, Stalwart Survivor;March of the Machine: The Aftermath;3.0;3;3;"Each creature you control has ""{T}: Add one mana of any of this creature's colors. Spend this mana only to activate an ability of a creature. Activate only if this creature has another activated ability.""
{W}{U}{B}{R}{G}, {T}: Mill five cards. Put all creature cards with activated abilities that aren't mana abilities from among the milled cards into your hand."
1891;Vesuvan Drifter;March of the Machine: The Aftermath;3.0;2;4;"Flying
You may look at the top card of your library any time.
At the beginning of each combat, you may reveal the top card of your library. If you reveal a creature card this way, Vesuvan Drifter becomes a copy of that card until end of turn, except it has flying."
1892;Ayara's Oathsworn;March of the Machine: The Aftermath;2.0;2;2;"Menace
Whenever Ayara's Oathsworn deals combat damage to a player, if it has fewer than four +1/+1 counters on it, put a +1/+1 counter on it. Then if it has exactly four +1/+1 counters on it, search your library for a card, put it into your hand, then shuffle."
1893;Urborg Scavengers;March of the Machine: The Aftermath;3.0;2;2;"Whenever Urborg Scavengers enters or attacks, exile target card from a graveyard. Put a +1/+1 counter on Urborg Scavengers.
Urborg Scavengers has flying as long as a card exiled with it has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance."
1894;Arni Metalbrow;March of the Machine: The Aftermath;3.0;3;3;Whenever a creature you control attacks or a creature you control enters attacking, you may pay {1}{R}. If you do, you may put a creature card with mana value less than that creature's mana value from your hand onto the battlefield tapped and attacking.
1895;Plargg and Nassari;March of the Machine: The Aftermath;5.0;5;4;At the beginning of your upkeep, each player exiles cards from the top of their library until they exile a nonland card. An opponent chooses a nonland card exiled this way. You may cast up to two spells from among the other cards exiled this way without paying their mana costs.
1896;Nissa, Resurgent Animist;March of the Machine: The Aftermath;3.0;3;3;Landfall — Whenever a land you control enters, add one mana of any color. Then if this is the second time this ability has resolved this turn, reveal cards from the top of your library until you reveal an Elf or Elemental card. Put that card into your hand and the rest on the bottom of your library in a random order.
1897;Tranquil Frillback;March of the Machine: The Aftermath;3.0;3;3;"When Tranquil Frillback enters, you may pay {G} up to three times. When you pay this cost one or more times, choose up to that many —
• Destroy target artifact or enchantment.
• Exile target player's graveyard.
• You gain 4 life."
1898;Calix, Guided by Fate;March of the Machine: The Aftermath;3.0;2;2;"Constellation — Whenever Calix, Guided by Fate or another enchantment you control enters, put a +1/+1 counter on target creature.
Whenever Calix or an enchanted creature you control deals combat damage to a player, you may create a token that's a copy of a nonlegendary enchantment you control. Do this only once each turn."
1899;Danitha, New Benalia's Light;March of the Machine: The Aftermath;3.0;2;2;"Vigilance, trample, lifelink
Once during each of your turns, you may cast an Aura or Equipment spell from your graveyard."
1900;Jirina, Dauntless General;March of the Machine: The Aftermath;2.0;2;2;"When Jirina, Dauntless General enters, exile target player's graveyard.
Sacrifice Jirina: Humans you control gain hexproof and indestructible until end of turn."
1901;Jolrael, Voice of Zhalfir;March of the Machine: The Aftermath;4.0;3;3;"At the beginning of combat on your turn, up to one target land you control becomes an X/X green and blue Bird creature with flying and haste until end of turn, where X is the number of cards in your hand. It's still a land.
Whenever a land creature you control deals combat damage to a player, draw a card."
1902;Kiora, Sovereign of the Deep;March of the Machine: The Aftermath;5.0;4;5;"Vigilance, ward {3}
Whenever you cast a Kraken, Leviathan, Octopus, or Serpent spell from your hand, look at the top X cards of your library, where X is that spell's mana value. You may cast a spell with mana value less than X from among them without paying its mana cost. Put the rest on the bottom of your library in a random order."
1903;Nahiri, Forged in Fury;March of the Machine: The Aftermath;6.0;5;4;"Affinity for Equipment (This spell costs {1} less to cast for each Equipment you control.)
Whenever an equipped creature you control attacks, exile the top card of your library. You may play that card this turn. You may cast Equipment spells this way without paying their mana costs."
1904;Narset, Enlightened Exile;March of the Machine: The Aftermath;4.0;3;4;"Creatures you control have prowess.
Whenever Narset, Enlightened Exile attacks, exile target noncreature, nonland card with mana value less than Narset's power from a graveyard and copy it. You may cast the copy without paying its mana cost."
1905;Nashi, Moon's Legacy;March of the Machine: The Aftermath;3.0;3;4;"Menace, ward {1}
Whenever Nashi, Moon's Legacy attacks, exile up to one target legendary or Rat card from your graveyard and copy it. You may cast the copy. (You still pay its costs. A copy of a permanent spell becomes a token.)"
1906;Niv-Mizzet, Supreme;March of the Machine: The Aftermath;5.0;5;5;"Flying, hexproof from monocolored
Each instant and sorcery card in your graveyard that's exactly two colors has jump-start. (You may cast that card from your graveyard by discarding a card in addition to paying its other costs. Then exile it.)"
1907;Ob Nixilis, Captive Kingpin;March of the Machine: The Aftermath;4.0;4;3;"Flying, trample
Whenever one or more opponents each lose exactly 1 life, put a +1/+1 counter on Ob Nixilis, Captive Kingpin. Exile the top card of your library. Until your next end step, you may play that card."
1908;Pia Nalaar, Consul of Revival;March of the Machine: The Aftermath;2.0;2;3;"Thopters you control have haste.
Whenever you play a land from exile or cast a spell from exile, create a 1/1 colorless Thopter artifact creature token with flying."
1909;Rocco, Street Chef;March of the Machine: The Aftermath;3.0;2;4;"At the beginning of your end step, each player exiles the top card of their library. Until your next end step, each player may play the card they exiled this way.
Whenever a player plays a land from exile or casts a spell from exile, you put a +1/+1 counter on target creature and create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
1910;Samut, Vizier of Naktamun;March of the Machine: The Aftermath;3.0;2;3;"First strike, vigilance, haste
Whenever a creature you control deals combat damage to a player, if that creature entered this turn, draw a card."
1911;Sarkhan, Soul Aflame;March of the Machine: The Aftermath;3.0;2;4;"Dragon spells you cast cost {1} less to cast.
Whenever a Dragon you control enters, you may have Sarkhan, Soul Aflame become a copy of it until end of turn, except its name is Sarkhan, Soul Aflame and it's legendary in addition to its other types."
1912;Sigarda, Font of Blessings;March of the Machine: The Aftermath;4.0;4;4;"Flying
Other permanents you control have hexproof.
You may look at the top card of your library any time.
You may cast Angel spells and Human spells from the top of your library."
1913;Tyvar the Bellicose;March of the Machine: The Aftermath;4.0;5;4;"Whenever one or more Elves you control attack, they gain deathtouch until end of turn.
Each creature you control has ""Whenever a mana ability of this creature resolves, put a number of +1/+1 counters on it equal to the amount of mana this creature produced. This ability triggers only once each turn."""
1914;Karn, Legacy Reforged;March of the Machine: The Aftermath;5.0;*;*;"Karn, Legacy Reforged's power and toughness are each equal to the greatest mana value among artifacts you control.
At the beginning of your upkeep, add {C} for each artifact you control. This mana can't be spent to cast nonartifact spells. Until end of turn, you don't lose this mana as steps and phases end."
